trans_date,trans_amount
2020-05-16 02:11:25.273821+00:00,200
2020-05-16 02:09:41.285083+00:00,122
2020-05-16 02:06:42.670463+00:00,249
2020-05-16 02:03:40.492685+00:00,201
2020-05-16 01:58:03.531164+00:00,25
2020-05-16 01:55:10.658722+00:00,80
2020-05-16 01:45:20.053302+00:00,560
2020-05-16 01:35:27.983497+00:00,749
2020-05-16 01:30:59.380766+00:00,186
2020-05-16 01:29:24.424387+00:00,15
2020-05-16 01:28:53.408225+00:00,192
2020-05-16 01:28:14.005821+00:00,454.11
2020-05-16 01:07:14.579445+00:00,47
2020-05-16 00:55:12.244998+00:00,60
2020-05-16 00:52:47.046790+00:00,57
2020-05-16 00:46:52.380780+00:00,41
2020-05-16 00:34:10.308861+00:00,8
2020-05-16 00:31:32.297354+00:00,74.5
2020-05-16 00:16:18.874343+00:00,857
2020-05-16 00:10:00.051780+00:00,5.02
2020-05-15 23:58:01.539356+00:00,120.46
2020-05-15 23:54:24.768871+00:00,747.14
2020-05-15 23:40:54.291315+00:00,61.5
2020-05-15 23:35:39.963729+00:00,108.39
2020-05-15 23:35:20.994822+00:00,57.06
2020-05-15 23:17:44.274783+00:00,11.6
2020-05-15 23:14:41.002274+00:00,27
2020-05-15 23:07:57.374173+00:00,12.06
2020-05-15 23:04:45.806053+00:00,60.69
2020-05-15 22:58:23.337726+00:00,23.5
2020-05-15 22:57:51.293668+00:00,861.3
2020-05-15 22:44:41.483050+00:00,0.08
2020-05-15 22:41:31.010036+00:00,37
2020-05-15 22:24:42.229088+00:00,25.5
2020-05-15 22:07:11.098461+00:00,57.58
2020-05-15 22:06:34.116491+00:00,25
2020-05-15 21:58:42.894607+00:00,15
2020-05-15 21:55:57.392375+00:00,20
2020-05-15 21:37:51.812640+00:00,8
2020-05-15 21:34:22.946720+00:00,11.6
2020-05-15 21:32:56.690327+00:00,346
2020-05-15 21:31:00.982824+00:00,12.06
2020-05-15 21:22:38.039702+00:00,833
